sentence,label,label_name
"Hmm, IMDb rating of 7.5, good comments, bla, bla ... okay, two of my friends and me, we orderd Pizza, sat down and wanted to see something as cool as Ichi or at least something brainless but funny like Versus. But Naked Blood sucked. It's a complete waste. Okay, the scene with the woman who likes to eat is quite outstanding. But that's it. Nothing more, nothing less. I won't summerize the plot, other people did already, I just wanted to stop the hype. But watch it and rate for yourself. Maybe we can push th",0,Negative
"Jafar Panahi's comedy-drama ""Offside"" portrays some women trying to enter a Tehran sports arena from which women are banned. The official reason: lots of foul language, and the soccer players have their legs showing. But of course, it's really a case of sexism. So, most of the movie consists of mild comic relief as the women try to ask the men serious questions about why women are banned from the stadium, and one woman even comes up with her own scheme to defy the men.<br /><br />As I understand, all of Jaf",1,Positive
"I, also having endured hundreds of children's movies in the past, consider this to be one of the worst I have ever seen.<br /><br />1) I resent in this day and age having to explain to my children that Russia is not ""the bad guys"". Also, that mocking Russian names like ""Poopchev"" is inappropriate.<br /><br />2) The grandfather fly's birthday party scene contained a quasi-sexist joke in which he implied that males drink beer and women talk on the phone. Two other flies also needlessly use the word ""crap"" twi",0,Negative
"Should have been titled 'Balderdash!' Little in the film is true except the name of the island and the fact submarines were involved. Little more than training film quality with poor camera work, muddy stock footage and perhaps the low point of stereotyping 'Japs' with laughing Japanese infantry, laughing Japanese fighter pilots and one-dimensional square-jawed Americans dying left and right. Sixty years later it is unintentionally funny as an odd artifact and as an opportunity to see what is possible when ",0,Negative
"I ve finished seeing the movie 10 minutes ago..WoW i still cant believe what i've watched.<br /><br />This is absolutely the worst movie EVER. If i would list all the flaws in the movie , this review would take me a lot of sentences.( very funny flaws, because of being that bad though)<br /><br />You got to be Amazed with the skill of the commandos assigned to rescue the plane. they didn't even know how to move.<br /><br />Ice-t is so bad actor... and the thing i don't understand, is how the production want",0,Negative
"'Stanley and Iris' show the triumph of the human spirit. For Stanley, it's the struggle to become literate and realize his potential. For Iris, it's to find the courage to love again after becoming a widow. The beauty of the movie is the dance that Robert DeNiro and Jane Fonda do together, starting and stopping, before each has the skills and courage to completely trust each other and move on. In that sense it very nicely gives us a good view of how life often is, thus being credible. Unlike some other revi",1,Positive
"Oh, brother. The only reason this very irritating film avoids getting the total ""bomb"" from me is because it's at least historically noteworthy as the first Three Stooges film (when they weren't yet on their own and were still saddled with that painfully unfunny Ted Healy). But even as a longtime Stooges fan I'd have to say that young Moe, Larry and Curly are badly used here as three zany assistant janitors to Mr. Healy's taller boss janitor. They're not featured steadily through the movie and their silly o",0,Negative
"So Angela has grown up and gotten therapy and an operation to turn her into a real life daughter, rather than the son that she was born, and now holds a job as - wait for it - a camp counselor! How appropriate, right? I know, I love it. Anyway, the first sequel to the Sleepaway Camp franchise obeys all the rules of horror sequels - more blood, more imaginative killings (which aren't imaginative, but still more so than the original), more nudity, a more elaborate plot, and generally worse than the original. ",0,Negative
don't see this. this was one of the dumbest movies i have ever seen. its hard to be Mormon sometimes when there are movies like this out there. what a sad view of Mormon life. i can tell you if you did see this movie that it is not all like this at all in a singles ward. if it was i don't think i would have made it through it. its too bad that most Mormon movies are made by a group of geeks who have nothing better to do. the acting was so bad that my wife and i barely made it through. i guess you could say ,0,Negative
"2 stars, and I'm being generous. (minor spoilers) Look, this is a low budget zombie movie set in gangland Oakland. As the plot goes, a scientist wants to bring his dead brother back to life after being killed in a drive-by.<br /><br />The main problem with this movie: what zombies?! All the ""zombies"" do is growl (which doesn't sound even remotely scary) and drip fake red blood from their mouths! No scary eyes, no decaying flesh, just a bunch of people growling pathetically and running around like idiots.<br",0,Negative
"The Secret of Kells is one of the most unique, beautiful, and eye- popping animated films I have ever seen. Before watching this film, I was convinced that nothing could give Up a run for its money and that it was a shoo-in to win in this category, but I found in Kells a serious contender.<br /><br />The Secret of Kells tell the story of a young orphan named Brendan, who lives with his uncle, the Abbot of Kell. The Abbot is a loving guardian, but perhaps a bit too strict and much more concerned with fortify",1,Positive
"""Handsome Guys With Bad Haircuts !!"" ""Beautiful Girls Without Any Clues !!"" ""Stupid Gangsters Who Cannot Shoot Straight !!"" From Dragon Dynasty comes the Hong Kong gangster drama, ""Dragon Heat."" For reasons which will probably forever be completely obscured, the production and casting call for this 'criminals-on-steroids' movie somehow got both Maggie Q and Michael Biehn to sign on as villains. But they don't get all that much to do in this horrid slug-fest.<br /><br />They are two of the best contemporary ",0,Negative
"LL Cool J. Morgan Freeman. Dylan McDermott. Kevin Spacey. John Heard. Cary Elwes. Roslyn Sanchez. Justin Timberlake -- wait a minute. Justin Timberlake? And he's the star? I should have known better than to rent EDISON FORCE. In fact, I did know better. But in a moment of absolute weakness, I rented this STV. When you have big names like Freeman and Spacey in an STV, you know it's one of two things: an indie or a dog. As in sat-on-a-shelf. Which this did. And with good reason. The plot as such involves a sq",0,Negative
"Pierce Brosnan has sipped his last Martini and returns, in an outrageous self-parody, as the aging foul-mouthed boozy assassin Julian Noble, who has a particular fondness for teenage girls, bullfights and tacky clothes. During a job in Mexico City he meets Danny (Greg Kinnear), a straight-faced Denver suburban business-man, who's in town to make his deal of-a-life-time, in a hotel bar. Despite their completely different personalities and Julian's crude and insensible remarks, they become friends. <br /><br ",1,Positive
"Florence Chadwick was actually the far more accomplished swimmer, of course. She swam the English Channel both directions. She swam from Catalina Island to the California coast. Marilyn Bell's is a sweet story, but the usual glorification of us Canadians in the face of a superior world. Another sample of our inferiority complex. Our political system works pretty well and the health system allows people not to die in hospital lobbies. That's pretty good. Better than Lebanon. What should we do about hockey th",0,Negative
"I'll be honest. The only reason I watched this one on TV is that it's in the IMDb bottom 100. And right now, I'm wondering if the hour and a half of my life really was worth another 'check' on that same list.<br /><br />Van Damme is Luc Deveraux, who finds himself on a huge fight with the Universal Soldiers after the main computer pulled a 'HAL' to defend itself. And yes, after all the obligate explosions, shoot-outs and chases he is the last one standing. Combined with terrible acting and a bit of a boring",0,Negative
"This was the first PPV in a new era for the WWE as Hulk Hogan, The Ultimate Warrior, Ric Flair and Sherri Martel had all left. A new crop of talent needed to be pushed. And this all started with Lex Luger, a former NWA World Heavyweight Champion being given a title shot against Yokozuna. Lex travelled all over the US in a bus called the Lex Express to inspire Americans into rallying behind him in his bid to beat the Japanese monster (who was actually Samoan) and get the WWE Championship back into American h",1,Positive
"I must admit I am a big fan of South Park and was expecting Basketball to be funny but nowhere near as good as it turned out to be! I think this is what happens when you mix David Zucker, Matt Stone, and Trey Parker together. This movie has so much replay value and at no point bothers to take itself seriously. The slap stick style humor mixed with Stone and Parker just works flawlessly. The kind of humor present in Basketball was not popular upon the time of it's release and had it come out today it would b",1,Positive
"I didn't really know what this movie was about when I went to the theater to see it (hype about the Satanism etc etc etc) as the trailers in the last movie I saw looked pretty interesting.<br /><br />Oh dear, Roman Catholic mythology? Not my idea of a good scare and honestly, I just felt like watching a really good, scary movie, not some loosely plotted religious farce that tries to score cheap thrills by having some chick getting bloody every few minutes!<br /><br />I'll try to keep away from the spoilers ",0,Negative
"If you're researching UFO facts, then this video is very important. The 'meat' of the video is the comments made by Buzz Aldrin. He is without a doubt from the best of America. Trained to be objective, honest and factual in his reports. Many Astronauts from America of all eras have reported some kind of contact, or UFO observance and there are videos from some of those missions. At the very least something has happened that requires further objective ongoing investigating. I think this testimony from Buzz A",1,Positive
"No, this is not no Alice fairy tale my friends! This `Wonderland' fable is based on the true story of the gruesome bloody Wonderland murders that occurred back in 80's California. At the center of this bloodbath was no other than `Johnny Wad' himself. Yes, John Holmes! Daddy ding-dong used other shotguns than his infamous 13-inch milk machine. Besides being a legendary adult film actor, Holmes was as also a hardcore drug addict who befriended various Hollywood junkies. Val Kilmer was occasionally majestic a",1,Positive
"Watching this again after a gap of many years and remembering the flop it was upon its original release, I am surprised at how well it has held up. One of the reasons for its failure was that one generation just thought it was over indulgent crap and a younger one was disappointed that it did not show the full hippy glory. Seen now it is clear that Antonioni was already aware of and fascinated by the heady mix of fervent enthusiasm for change and a lack of any clear vision for the future. The lead pair are ",1,Positive
"Hey if you have a little over an hour to kill and find paint to be too exciting I'd suggest it. If thou you happen to like cheap b-movies like me it's good for a giggle! Other than that I wouldn't suggest that you rent it, I'd wait till it comes on the tube say round 4 am on the free access channel of your cable/satellite supplier. The band that did this sound track by the way was on the road after for about two years after this flick, and no they sounded just as bad live according to the two small town rev",0,Negative
"There is a DVD published in the UK in 2002 Code HRGD002 on the cover, no ASIN, VFC 19796 on the disk, no IFPI code in the inner rim.<br /><br />Probably a straight transfer from VHS. <br /><br />There is no much point is commenting an adult film. But this one contains a minimal plot, and the characters are believable. It was shown in the United States in normal cinemas.<br /><br />I've seen it In Pensylvannia way back in 1975.<br /><br />As such it deserves a place in an Encyclopedia of Movies. The DVD has ",0,Negative
"clara bow's beauty and wonderful appeal are the chief reason to watch this film. ""hula"" is not quite up to par with clara's best films but it is still enjoyable. she dances, she rides her horse, and pursues the man that she loves. this film is just over an hour in length and was directed by future oscar winner victor fleming (gone with the wind).the film moves quickly and clara bow has lots of screen time. if you like clara, i would reccomend ""hula.""",1,Positive
"Wow... what... a whirlwind. The 30's is a decade with plenty of movies of every type I can imagine, especially during the early talkies phase. There were movies which are painfully static and dull, like ""Dracula"" with Bella Lugosi, and there were those that just don't give it a rest, sometimes in a good way and other times not. This is one of the films that don't stop for a minute, and that is both a wonder and a pity. Lloyd Bacon, who also directed ""42nd Street"", must have been the king of the Depression E",1,Positive
"Having previously seen the abridged print presented by David Shepard, I finally got a hold of a complete--or nearer complete version, which was about 56 minutes compared to the 30-minute version more widely distributed. The Shepard print for Image Entertainment is certainly of superior quality, and the best parts are there, but it's nonetheless good to see the rest of the film and fill in some loose story ends.<br /><br />In the Shepard print, the film ends with Mary stating, ""You see, I've changed my mind-",1,Positive
"This film reminded me of The Sopranos, and not in a good way. <br /><br />David Chase's seminal mob opera only ever put its foot wrong twice, the most jarring and inexplicable instance of which took place in its fourth season, when Junior Soprano went on trial for his life. Rather than pursue this riveting (and pivotal) plot line, the writers instead chose to completely ignore it, focusing instead on Bobby Baccalieri's constant whimpering over his recently deceased wife's frozen pasta dish. <br /><br />When",0,Negative
"This is easily a 9. Michel Serrault, known more for comic roles in the earlier part of his acting career, does a stunning, even worryingly stunning job of impersonating Dr Petiot, a legendary French serial killer.<br /><br />He is just so believable at every and any moment in the film, that the actor completely disappears behind the character - only the very best ever achieve this feat, and when they do it is only in a handful of parts at best.<br /><br />The whole story (a real story which happened in 20th",1,Positive
"He really lost the plot with this one! None of his distinctive trademarks here at all, an uninteresting plot and completely terrible acting make this his worst film (in my opinion). Even his trademark gore is gone, bar one scene in an operating theatre. Oh well, at least his next film 'Nightmare Concert' showed that he could still shock when he wanted to...",0,Negative
"Unless you are mentally ill or the most die hard segal fan you will tire of this horrendous excuse for a film in under 5 minutes.<br /><br />The Plot - Even for a Seagal film, the plot is just stupid. I mean its not just bad, its barely coherent.<br /><br />The Acting - Unbelievably wooden. Literally seen better acting in porno's. Ironically this film tries to cash in on this audience which a 'lesbian love scene' which is utterly cringe-worthy.<br /><br />Special Effects - wouldn't look out of place in a 60",0,Negative
"Too bad a couple of comments before me don't know the facts of this case. It is based on actual events, a highly publicized disappearance and murder case taking place in the Wilmington, DE/Philadelphia PA region from '96 through 2000. I have to admit I was highly skeptical of how Hollywood would dramatize the actual history and events and was actually quite impressed on how close they stayed to what was constantly reported on local newscasts and Philadelphia Inquirer news stories throughout the time period.",1,Positive
"While it's early to say how the series will evolve, I can say that the pilot was less than I thought it would be. There is still potential for the series, however. Of course when I first saw Voyager I thought it had potential, too - but was sorely disappointed. My gut tells me Enterprise won't be as bad as Voyager, however.<br /><br />As for the impressions of the pilot...<br /><br />The pilot had some good ideas and good themes. I liked the introduction. The show's opening credits were interesting, with th",0,Negative
